id_pessoa,cpf,email,nome,data_nascimento,sexo,cidade,uf,numero_filhos,tabaco,alcool,outras_drogas,religiao,tipo_de_personalidade,latitude,longitude
168,41883368445,elvis@outlook.com,Elvis,16/12/1943,M,Sao Mateus,ES,5,0,1,1,2,10,32.6062,32.5017

169,48879982031,arlie@aol.com,Arlie,23/9/1934,M,Sao Joao de Meriti,RJ,3,1,1,1,9,11,27.8937,55.9905

170,41365803938,rickie@yahoo.com,Rickie,3/10/1976,M,Palhoca,SC,1,1,0,0,10,9,25.0953,31.1903

171,48135275834,elwood@aol.com,Elwood,5/10/1935,M,Itajai,SC,2,1,1,1,8,9,23.5198,52.5863

172,46462725181,eddy@aol.com,Eddy,12/12/1968,M,Vitoria,ES,0,1,1,1,3,7,11.3692,33.8863

173,44534866061,olin@aol.com,Olin,23/4/1938,M,Uberlandia,MG,5,1,0,1,7,0,20.4571,50.0062

174,43072688574,van@outlook.com,Van,13/11/1989,M,Betim,MG,3,0,0,1,1,11,36.946,30.7479

175,41218788094,emory@outlook.com,Emory,28/6/1961,M,Linhares,ES,1,0,1,0,1,12,21.3537,57.706

176,40203529262,daryl@gmail.com,Daryl,28/9/1989,M,Chapeco,SC,0,1,1,1,2,10,29.3953,54.2472

177,42309613229,efrain@aol.com,Efrain,7/6/1955,M,Joinville,SC,1,0,1,1,0,15,31.2006,30.7573

178,41515559795,cedrick@yahoo.com,Cedrick,13/5/1987,M,Blumenau,SC,4,1,1,0,9,1,13.1244,46.231

179,45204170925,darnell@yahoo.com,Darnell,11/10/1964,M,Joinville,SC,0,0,0,1,1,1,23.1322,52.1857

180,42650679665,jarrett@yahoo.com,Jarrett,24/4/1960,M,Contagem,MG,5,0,0,1,5,13,21.2152,52.5931

181,42119178671,ethan@yahoo.com,Ethan,18/12/1993,M,Palhoca,SC,5,1,0,1,10,9,30.8936,52.7385

182,42116779773,issac@gmail.com,Issac,12/7/1999,M,Criciuma,SC,1,0,1,0,4,13,36.8948,59.1368

183,45183373737,clay@gmail.com,Clay,2/7/1939,M,Montes Claros,MG,1,0,0,1,0,12,25.0866,30.4934

184,41326124076,quincy@gmail.com,Quincy,1/3/1974,M,Sao Goncalo,RJ,3,0,0,0,8,2,23.0663,40.6708

185,43432203328,clinton@aol.com,Clinton,7/10/1992,M,Duque de Caxias,RJ,4,0,0,1,1,1,20.2087,30.8377

186,41522069146,cleveland@outlook.com,Cleveland,2/12/1964,M,Ribeirao das Neves,MG,3,1,1,1,3,13,12.0798,34.1216

187,49544816439,reese@gmail.com,Reese,5/4/1973,M,Serra,ES,4,1,0,1,0,6,33.5154,48.301

188,49834193370,tate@aol.com,Tate,7/4/1949,M,Guarulhos,SP,2,0,0,0,1,1,24.9703,41.6273

189,40027144216,devon@aol.com,Devon,29/10/1943,M,Lages,SC,3,0,1,1,10,7,37.0106,43.3841

190,49169770270,claudio@gmail.com,Claudio,28/1/1943,M,Chapeco,SC,0,1,0,0,6,5,16.8463,53.1436

191,41767284182,sammy@aol.com,Sammy,21/3/1940,M,Florianopolis,SC,3,0,1,0,3,13,36.8343,56.2154

192,44691679980,coy@yahoo.com,Coy,14/11/1989,M,Campinas,SP,5,1,0,1,1,1,33.0739,33.2087

193,43193239428,wesley@gmail.com,Wesley,6/8/1999,M,Cachoeiro de Itapemirim,ES,1,1,0,0,2,12,34.0708,32.0831

194,49319880120,ken@gmail.com,Ken,23/8/1971,M,Itajai,SC,2,1,1,0,0,1,17.124,47.5294

195,47177190225,antwon@gmail.com,Antwon,20/10/1972,M,Vitoria,ES,5,0,0,1,7,3,38.7317,44.6509

196,49100309414,ernest@yahoo.com,Ernest,28/10/1997,M,Sao Goncalo,RJ,0,0,1,0,10,15,21.1516,42.5816

197,41297574135,stefan@gmail.com,Stefan,8/9/1984,M,Aracruz,ES,4,0,0,1,10,5,17.9632,59.2768

198,40845116494,kennith@gmail.com,Kennith,19/11/1982,M,Campos dos Goytacazes,RJ,5,0,1,1,10,1,33.1325,31.7383

199,44098200209,leo@outlook.com,Leo,18/3/1971,M,Sao Paulo,SP,2,0,1,1,4,1,27.5113,59.2713

200,41155321110,adolfo@outlook.com,Adolfo,18/11/1993,M,Governador Valadares,MG,1,0,0,1,7,7,22.029,42.1477

201,45266276025,roberto@aol.com,Roberto,17/8/1941,M,Ribeirao das Neves,MG,5,1,0,1,7,11,39.1569,36.4012

202,47377755104,isidro@yahoo.com,Isidro,4/11/1940,M,Betim,MG,1,0,0,0,9,1,27.1801,35.9986

203,41542287097,darin@aol.com,Darin,21/1/1950,M,Ribeirao das Neves,MG,5,0,0,0,7,6,21.4472,57.4369

204,44375516775,jermey@yahoo.com,Jermey,6/2/1944,M,Campos dos Goytacazes,RJ,1,0,0,0,1,7,13.7545,48.1925

205,48322351521,isaac@aol.com,Isaac,16/7/1988,M,RIbeirao Preto,SP,4,1,1,0,10,7,27.4324,39.2085

206,49610653159,sterling@yahoo.com,Sterling,8/3/1967,M,RIbeirao Preto,SP,0,0,0,1,6,15,37.9921,37.5981

207,48466343144,jarad@aol.com,Jarad,1/2/1951,M,Florianopolis,SC,4,0,1,1,4,0,16.5166,47.7787

208,40441072348,dwight@gmail.com,Dwight,10/10/1988,M,Governador Valadares,MG,1,1,0,0,6,14,39.5265,36.4458

209,49588581520,brennan@outlook.com,Brennan,2/8/1983,M,Jaragua do Sul,SC,0,0,0,1,10,8,35.839,30.9861

210,42115473087,chandler@yahoo.com,Chandler,9/8/1935,M,Vitoria,ES,0,0,0,0,4,8,36.884,32.7954

211,43760388797,duane@outlook.com,Duane,23/3/1980,M,Sao Jose dos Campos,SP,0,0,0,1,9,3,14.145,59.6039

212,42742827395,davin@aol.com,Davin,17/1/1959,M,Guarulhos,SP,3,0,0,1,7,2,29.071,56.7267

213,42050551909,billy@gmail.com,Billy,24/6/1974,M,Belo Horizonte,MG,0,0,0,0,0,15,35.5075,35.7706

214,44985063657,amos@aol.com,Amos,15/1/1963,M,Santo Andre,SP,3,1,1,0,8,12,25.3781,42.8616

215,41910920618,brandin@outlook.com,Brandin,10/12/1995,M,Sao Goncalo,RJ,2,0,0,0,5,8,32.5093,42.7262

